--------------------------------------------------
CSMaxDelays
f=20,q=6;-183.605:-69.096:45.413;-3.267:-2.298:-1.33;-0.432:-0.104:0.223;-126.582:-53.803:18.976;-10.91:-3.152:4.606;-1.19:-0.01:1.17;-434.625:-139.316:155.993;-2.122:-1.195:-0.267;0:0:0;-270.806:-121.19:28.427;-3.857:-1.779:0.299;-1.132:-0.144:0.844;-136.586:-94.912:-53.238;-12.641:-4.168:4.305;-1.445:-0.51:0.425
f=22,q=4;-110.426:52.094:214.614;-31.303:118.891:269.085;-28.657:121.085:270.827;-141.084:67.386:275.856;-25.614:118.038:261.689;-28.073:121.18:270.433;-459.113:-18.126:422.86;-28.994:119.995:268.983;-28.427:121.19:270.806;0:0:0;-31.928:119.411:270.749;-28.335:121.045:270.426;-114.133:26.277:166.688;-28.219:117.022:262.262;-29.333:120.68:270.693
f=22,q=5;-181.17:-67.317:46.536;-2.778:-0.52:1.739;-0.494:1.674:3.843;-122.754:-52.025:18.704;-9.97:-1.373:7.224;-0.317:1.769:3.855;-431.526:-137.537:156.452;-1.814:0.584:2.982;-0.299:1.779:3.857;-270.749:-119.411:31.928;0:0:0;-0.334:1.635:3.603;-134.37:-93.133:-51.897;-12.804:-2.389:8.026;-0.093:1.269:2.631
f=22,q=6;-182.473:-68.951:44.57;-4.073:-2.154:-0.235;-1.273:0.04:1.353;-125.956:-53.659:18.638;-10.004:-3.008:3.989;-0.073:0.135:0.342;-434.978:-139.172:156.635;-1.53:-1.051:-0.571;-0.844:0.144:1.132;-270.426:-121.045:28.335;-3.603:-1.635:0.334;0:0:0;-135.461:-94.768:-54.075;-13.205:-4.024:5.158;-1.008:-0.366:0.277
f=24,q=4;-47.3:25.816:98.933;50.007:92.614:135.221;52.806:94.808:136.809;-27.266:41.109:109.484;56.548:91.76:126.972;54.407:94.902:135.398;-366.437:-44.404:277.63;52.901:93.717:134.534;53.238:94.912:136.586;-166.688:-26.277:114.133;51.897:93.133:134.37;54.075:94.768:135.461;0:0:0;43.504:90.744:137.985;53.377:94.402:135.428
f=24,q=5;-185.285:-64.928:55.429;-6.306:1.869:10.045;-4.226:4.064:12.353;-130.664:-49.636:31.393;-11.083:1.016:13.115;-5.108:4.158:13.424;-432.952:-135.148:162.656;-5.782:2.973:11.728;-4.305:4.168:12.641;-262.262:-117.022:28.219;-8.026:2.389:12.804;-5.158:4.024:13.205;-137.985:-90.744:-43.504;0:0:0;-5.743:3.658:13.059
f=24,q=6;-182.383:-68.586:45.211;-3.426:-1.789:-0.152;-0.776:0.406:1.587;-125.203:-53.294:18.616;-10.23:-2.642:4.946;-0.309:0.5:1.309;-433.974:-138.806:156.362;-1.722:-0.685:0.352;-0.425:0.51:1.445;-270.693:-120.68:29.333;-2.631:-1.269:0.093;-0.277:0.366:1.008;-135.428:-94.402:-53.377;-13.059:-3.658:5.743;0:0:0
--------------------------------------------------
PrcOverOneMinuteDelay
;f=16,q=4;f=16,q=5;f=16,q=6;f=18,q=4;f=18,q=5;f=18,q=6;f=20,q=4;f=20,q=5;f=20,q=6;f=22,q=4;f=22,q=5;f=22,q=6;f=24,q=4;f=24,q=5;f=24,q=6
f=16,q=4;0:0:0;0.029:0.284:0.54;0.036:0.309:0.582;-0.235:0.02:0.275;0.017:0.283:0.549;0.041:0.306:0.571;-0.969:-0.15:0.669;0.028:0.294:0.56;0.029:0.306:0.583;-0.595:-0.18:0.235;0.026:0.29:0.555;0.034:0.306:0.579;-0.4:-0.175:0.051;-0.029:0.273:0.575;0.028:0.303:0.578
f=16,q=5;-0.54:-0.284:-0.029;0:0:0;0.007:0.024:0.042;-0.502:-0.265:-0.027;-0.034:-0.001:0.031;0.012:0.022:0.031;-1.085:-0.434:0.216;-0.001:0.009:0.02;0.001:0.022:0.043;-0.74:-0.464:-0.188;-0.013:0.006:0.025;0.005:0.022:0.039;-0.525:-0.459:-0.393;-0.066:-0.011:0.043;-0.001:0.018:0.038
f=16,q=6;-0.582:-0.309:-0.036;-0.042:-0.024:-0.007;0:0:0;-0.533:-0.289:-0.045;-0.061:-0.026:0.01;-0.01:-0.003:0.005;-1.098:-0.459:0.18;-0.022:-0.015:-0.008;-0.009:-0.002:0.004;-0.764:-0.488:-0.213;-0.036:-0.018:-0.001;-0.007:-0.002:0.003;-0.558:-0.483:-0.408;-0.079:-0.036:0.008;-0.009:-0.006:-0.002
f=18,q=4;-0.275:-0.02:0.235;0.027:0.265:0.502;0.045:0.289:0.533;0:0:0;-0.007:0.263:0.533;0.045:0.286:0.528;-0.745:-0.17:0.405;0.032:0.274:0.516;0.036:0.287:0.538;-0.709:-0.2:0.31;0.044:0.271:0.497;0.038:0.287:0.535;-0.367:-0.194:-0.022;-0.034:0.253:0.541;0.04:0.283:0.526
